business_id,Date,Rating,Content,Review_auther,Review_image,Reactions,Replies,review_order,Eelite_status,check-in_status,business_name,recommended_review
"jiffy-lube-aiea","""26/10/2023""",5,"I would like to apologize and redo my review. I was asked to bring my vehicle in and advised they would have the drowsy washed and cleaned. I was able to bring my vehicle the same day and was told it was not the drain plug. After they cleaned and wiped it down they advised it was another problem coming top down which was the issue. Again, professional on service and helped me all the walk and walked me via it. Would recommend in a heart beat","{""Friends"":0,""Location"":""Kapolei, HI"",""Photos"":5,""Reviews_made"":13,""URL"":""https://www.yelp.com/user_details?userid=bnpCxyRbJzTpiCJltYXk_Q"",""Username"":""Ihab K.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/lQCQZpm6qgoAJA43aZ9cGA/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/53geKveB_zki1lv76XGhBQ/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/fTkxGlCKICQz4_W5glgCPA/348s.jpg""]","[{""Number"":1,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":1,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Hi there,  Thank you for sharing your experience with us. Feedback helps us tackle issues and become a better business. Would you mind emailing guest.relations@jiffyworld.com with your name, phone number, this review link for reference, and a note on your availability? Thank you!"",""Date"":""25/10/2023"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/faMO0UD3Cc1MuORLznK4PA/30s.jpg"",""Username"":""Jiffy Lube""},{""Content"":""Took my car in a month back and did oil change along with tire rotation. \nWhile they did everything and got me to get high mileage I was fine with it as it is better. \n\nWhen I got home the next day on driving I noticed oil leak under he car. I have had this car for awhile and had oil\nChanges. No issues. I moved the car thinking it was residue to note that it was actually leaking. They were nice enough to take me I right away the next day and get it addressed. While there was no fee associated to it I was content. \n\n2 weeks I go vacation, no car driven and the leak from the nut is back again. I was told they changed the washer and/or was not put back properly but it's not the case. Now I am having to not only find way to remove dry oil from outside the house and drive way to fix this mess."",""Date"":""24/10/2023"",""Images"":[],""Username"":""Ihab K.""}]",6,"","0 check-in","Jiffy Lube",""
"rifugio-salon-and-spa-pleasanton-8","""20/10/2022""",5,"Unexpected pleasure... it was a gift that kept on giving! Let me walk you through my experience with Wendy!
Around noon I went to Bronze's Tequeria and noticed a shop next door that read manicure and pedicures... new to the neighborhood I was excited to see a nail salon so close to my home and near a good restaurant and charge station!
Lets start the gift giving... 1st gift, I walk in and am greeted by Wendy's warm welcome and she lets me know she's available and the restaurant can bring my food to the salon after I order.  So did just that, ordered and told them I was next door. 2nd gift, Wendy was ready for me as I came back through the door, a walk-in's dream! 3rd gift, as she's doing my pedi she advises I shouldn't put nail polish back on because my nails need a break... she genuinely cares about her customers, other people have just painted over the discoloration from leaving nail polish on too long.
Now the 4th gift was unexpected!  I went in for a mani and pedi and Wendy had time, thank god, to do my hair too!  My thick 4C hair... she hooked it up! I went in around 12p and was done by 2:10p!
YES... mani, pedi and hair (press and curl) done in about 2hrs!!!!!
Wendy I will be back, you are amazing!","{""Friends"":0,""Location"":""Lakewood, CA"",""Photos"":3,""Reviews_made"":23,""URL"":""https://www.yelp.com/user_details?userid=VWrZ8v6fWG8RvzEvFNfjbA"",""Username"":""Feyia S.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/dTYKZwC3m4-0GsxINeUtsA/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":1,""Title"":""Thanks""},{""Number"":1,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Thank you for your review. It’s nice to meet you. See you again and I would love to see your daughter too."",""Date"":""20/10/2022"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/roEiDc9JbH-04KqBxmmVqQ/30s.jpg"",""Username"":""Trinh N.""}]",6,"","0 check-in","Rifugio Salon and Spa",""
"hula-boba-kapolei-kapolei","""12/05/2020""",5,"=== 1. VERDICT/VALUE
Fun for kids of all ages - this may be the only bubble tea topping buffet in Hawaii :)  With good prices and a unique experience, this should be on your list of BBT places in town!

=== 2. FOOD
Do-it-yourself drinks may not be more fun!  Simply walk in, choose a small or large cup, indulge at the topping buffet - all range of boba, jelly, etc. are available - and then tell the staff what sort of beverage you want.

Be careful, it's easy to get carried away with the yummy toppings!  You get to fill your cup to the first line on the cup for free; thereafter it's $0.75 above the first line and $2 after the second line.

One this day, we got a small signature milk tea - quick dispensed and sealed by the staff.  The small milk teas are $5.50 and the large is $0.50 more.

=== 3. SERVICE & ENVIRONMENT
It's normally very busy here due to the joint's popularity and also because you have to wait for the patrons before you fill their cups at the topping buffet.  The staff are typically friendly and fast.  The decor is colorful!  There are snacks and decorations of all shapes, sizes, and colors, making it great for those with little ones to stay and look around.  There are only a couple of really small tables so your party better be 3 people or less when dining in is permitted; this also implies that wheelchairs and strollers (like our small single one) don't fit in here well.  Parking is readily available in the shopping complex lot.","{""Friends"":123,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/Of1TB9uZLwQEOR2nR4mGNQ/60s.jpg"",""Location"":""Vancouver, Canada"",""Photos"":2459,""Reviews_made"":647,""Tag"":""Elite24"",""URL"":""https://www.yelp.com/user_details?userid=N1ozXPKgvToSP-Q5bQNmzA"",""Username"":""Jack W.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/26Pk7eLa8xD7VBej_pxalA/348s.jpg""]","[{""Number"":5,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":6,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",8,"Elite from 24","0 check-in","Hula Boba Kapolei",""
"hula-boba-kapolei-kapolei","""24/05/2022""",1,"This used to be our favorite boba place. We went today and were very disappointed that they reduced the sizes dramatically without reducing the prices!","{""Friends"":1,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/HBjFq2oEbNTryENpB8ZAsQ/60s.jpg"",""Location"":""Hauula, HI"",""Photos"":22,""Reviews_made"":54,""URL"":""https://www.yelp.com/user_details?userid=lc_tDJw_1uqhA3dKnT-98w"",""Username"":""Ark T.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/SNBBgL9ifCBU86tKHWkJfA/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Our favorite boba place!!! We love the size options and the large cups and the price is right! We also love that it's self serve...what a great idea! Their service is also very quick and the wait isn't very long. They're all very friendly. I always get the ube smoothie with boba and it's yummy! You can also choose the amount of sweetness you like in your drink. I used to always get the chocolate milk tea with boba which is my second favorite. My kids love the chocolate smoothies! It's a great treat on a hot day or just in general!"",""Date"":""09/07/2019"",""Images"":[],""User_Image"":""https://s3-media0.fl.yelpcdn.com/photo/HBjFq2oEbNTryENpB8ZAsQ/60s.jpg"",""Username"":""Ark T.""}]",10,"","0 check-in","Hula Boba Kapolei",""
"hula-boba-kapolei-kapolei","""28/09/2018""",5,"About the same price of an average boba but SO MUCH BETTER! Because of all the choices you can have as much or little of different toppings! Mix and match, don't be limited to 1-2 choices that cost you quarters to dollars more! Just make sure you don't fill up your whole drink with toppings lol! Wish there were more places like this as kapolei is far for us. 

Had plenty of parking and staff were friendly and polite.","{""Friends"":184,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/2cHMzf6MYrtDRonUWsh4MQ/60s.jpg"",""Location"":""Pearl City, HI"",""Photos"":313,""Reviews_made"":152,""Tag"":""Elite24"",""URL"":""https://www.yelp.com/user_details?userid=Il-4WJLVixV_VcL1QDJKdw"",""Username"":""Shayna A.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/-fqX_CaEGl48GW8LCrw1nA/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/IpL7F18n97dJl00llFwtsA/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/bCTuuKLqTLKfut4k9h7PlA/348s.jpg""]","[{""Number"":1,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":1,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",1,"Elite from 24","0 check-in","Hula Boba Kapolei",""
"revolution-winery-and-kitchen-sacramento","""11/10/2020""",4,"We came here as a part of the Vegan Chef Challenge.  I was happy to discover many vegan items served here normally.  We both ordered the vegan hash for brunch.  this came with avocado toast that was sliced avocado with some dill on a toast.  The dish was yummy but cooked in too much oil with oil on the side.   to me things dipping in oil is not that appetizing.  We also shared the Vegan Charcutere plate.  this was an interesting assortment of item.  We needed this  s the brunch entre was a bit small.","{""Friends"":111,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/CyALVQ8iGQDSlOdrp2FOFQ/60s.jpg"",""Location"":""Roseville, CA"",""Photos"":358,""Reviews_made"":485,""Tag"":""Elite24"",""URL"":""https://www.yelp.com/user_details?userid=MpXXFi9qJVBTeEv3w3Ns_A"",""Username"":""Cheryl B.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/IMQ2n50jhJ4KR0hOBpZxBA/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/s23qta7R8ji8k5dQGBZigw/348s.jpg""]","[{""Number"":2,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":1,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",102,"Elite from 24","0 check-in","Revolution Winery & Kitchen",""
"revolution-winery-and-kitchen-sacramento","""04/05/2019""",5,"I love this place! They have a ton of regularly changing vegan options throughout their menu (appetizers, entrees, cheese plates, and dessert) and they are creative and full of flavor. The atmosphere is casual, but nice at the same time. Fun to do a flight of wine with a meal and then often get another glass by the end. Their breakfast here is amazing too! My favorite place to go out to eat in in Sacramento","{""Friends"":223,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/u2gvtFT9c-Dhegt_L_Gl7w/60s.jpg"",""Location"":""Sacramento, CA"",""Photos"":517,""Reviews_made"":138,""Tag"":""Elite24"",""URL"":""https://www.yelp.com/user_details?userid=riIvSNwHEGplorSS6LF9Cg"",""Username"":""Bridget C.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/zpCVZOZOM9_7K3_nq7VmSg/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/HI3yjByBNUlh-72mtH0_0A/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/ZR6JrXB2nryWKctQPmPX-Q/348s.jpg""]","[{""Number"":3,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":2,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",107,"Elite from 24","0 check-in","Revolution Winery & Kitchen",""
"revolution-winery-and-kitchen-sacramento","""01/01/2018""",3,"I always drive past Revolution Wines, but never knew they served food. My friend asked me to join for dinner. I was surprised at the big menu provided for foodies, not just for wine drinkers. I ordered the build your own burger. It was $15 with the basics, no cheese. Each additional item was $2. I added cheddar cheese, avocado, jam fried onions and bacon. The burger ended up being a $23 burger before tax. The burger was very very delicious. I was not disappointed. Burger came with a house red or white. I chose the house white Sauvignon blanc. It was not bad at all. 

I ordered a Mac and cheese and it was never put in to the system. Another server had to rush it and i waited an extra 15 minutes for it after being done with my burger. I was highly disappointed on the Mac n cheese. It was not good for $9. 

I can say that I have finally experienced it here, but I don't know if I would come back.","{""Friends"":141,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/KjvpmA4LnnzdBEvQJ3yHlA/60s.jpg"",""Location"":""Sacramento, CA"",""Photos"":4458,""Reviews_made"":665,""Tag"":""Elite24"",""URL"":""https://www.yelp.com/user_details?userid=DrqazmWz4F8LFhTHKhp5oQ"",""Username"":""Jessica W.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/YWtRghFMDkf2n7cM5a0DVA/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/4dKsEyY_-kNlirpLKayF_g/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/LWX3DlBEEDFNtY6ECcaskA/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",104,"Elite from 24","0 check-in","Revolution Winery & Kitchen",""
"the-sicilian-butcher-phoenix-3","""14/01/2018""",5,"WOW, just WOW!! This is a new place and it's unbelievable how efficient and amazing!! I can't even describe it well enough to do it justice. From the amazing servers,  management,  table assistants,  to the good. Just one very awesome experience.  We chose to share a meat board and then got salads with a side of meatballs. If you're in to Keto, its perfect. Because of Keto,  we didn't try the pasta but it looked amazing.  This place is a MUST TRY!!","{""Friends"":39,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/Wu2p7ndoXSQFvaTGHWnbbQ/60s.jpg"",""Location"":""San Tan Valley, AZ"",""Photos"":58,""Reviews_made"":79,""URL"":""https://www.yelp.com/user_details?userid=qKgtvqfggq6DYQZcd3apfw"",""Username"":""Terri K.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/PW0xgiCc4qyrWail6iM_7g/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":1,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Hey Terri!\nThanks for your review! We're so glad to hear from you, and I'm thrilled to hear that we were able to provide you with an amazing meal tailored to your dietary needs. We hope to see you again soon!"",""Date"":""15/01/2018"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/aQe8Xz1VTuO4N6eMXkpV9A/30s.jpg"",""Username"":""JOEY M.""}]",2107,"","0 check-in","The Sicilian Butcher",""
"the-sicilian-butcher-phoenix-3","""19/03/2018""",4,"Went here on a Sunday afternoon, got seated right away. Beautiful atmosphere. We ordered the bruschetta for the appetizer. You're able to try 4 different toppings. They were all delicious! For the entrees, we ordered the Tomaso's meatballs, vodka cream sauce, and pasta al forno. Meatballs were delicious but the pasta al forno came with a lot of fontina cheese so wasn't a fan of that. I'd say order it with different type of pasta. Husband ordered Tony's steak meatballs, gnocchi and the sagu sauce. Other things on the menu but overall it was great.","{""Friends"":2,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/5UXPioPfXGBzFviA8AJwJw/60s.jpg"",""Location"":""Chicago, IL"",""Photos"":26,""Reviews_made"":39,""URL"":""https://www.yelp.com/user_details?userid=XsGT0K-cfO5kpCj-oqspKA"",""Username"":""Olivia C.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/6ByEpcxtAQfGsq27YEYUIw/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/7FgvnwqkuKe1IEQ071Iq8Q/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/stWBCIHbkwcxNwsOPcAnug/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Hello Olivia! Thank you so much for taking the time to share these with us, as it really means a lot to me and to everyone on our staff. If you have a chance, please ask for myself or the manager on duty the next time you visit us so that we may thank you personally. We look forward to serving you again soon!"",""Date"":""20/03/2018"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/aQe8Xz1VTuO4N6eMXkpV9A/30s.jpg"",""Username"":""JOEY M.""}]",2106,"","0 check-in","The Sicilian Butcher",""
